symbol,name,market,enabled,source_file
007070,GS리테일,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
007310,오뚜기,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
007340,DN오토모티브,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
008730,율촌화학,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
008770,호텔신라,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
008930,한미사이언스,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
009150,삼성전기,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
009240,한샘,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
009420,한올바이오파마,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
009520,포스코엠텍,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
009540,HD한국조선해양,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
009830,한화솔루션,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
009970,영원무역홀딩스,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
010060,OCI홀딩스,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
010120,LS ELECTRIC,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
010130,고려아연,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
010140,삼성중공업,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
010620,HD현대미포,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
010950,S-Oil,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
011070,LG이노텍,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
011170,롯데케미칼,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
011200,HMM,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
011210,현대위아,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
011780,금호석유화학,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
011790,SKC,KR,1,/Users/alicia/Desktop/#python/#Version2_broad_/KR_Stocks_Individual.xlsx
