date,open,high,low,close,volume,turnover
20251010,152300,158700,151500,158700,3063,473669200
20251013,157600,157600,151400,153000,1943,296500950
20251014,150300,156500,149600,152200,5125,782768250
20251015,150600,156000,150600,156000,3020,466914600
20251016,156100,161000,156100,160900,4027,642984400
20251017,159300,160800,158000,158000,1959,311696250
20251020,158000,158800,156500,158500,2404,378805850
20251021,158500,159000,156600,157600,2690,425023750
20251022,157600,158100,155500,157800,2224,348442300
20251023,157800,157900,155100,155400,2311,361518750
20251024,155400,155600,154100,155400,1482,229926600
20251027,155400,157000,154400,154500,2462,382168750
20251028,154500,156700,153600,156000,2873,444460600
20251029,156000,158500,153200,153200,3475,541880150
20251030,153200,154800,147500,149000,4012,605434600
20251031,149000,151500,147000,151200,3435,512321150
20251103,151200,151400,148200,148500,3748,561902550
20251104,148500,159000,147000,147100,4177,621237200
20251105,149300,149800,146400,147600,3604,532007950
20251106,147600,153400,146800,148400,3201,474282200
20251107,148400,149100,146300,148000,2020,298906400
20251110,148000,150600,145800,146000,3357,493863050
20251111,146000,147400,146000,146100,2594,379623250
20251112,146100,147100,146100,146800,2876,421172050
20251113,146200,147500,146000,146100,2254,330527700
20251114,147500,148700,146100,146100,1992,292554150
20251117,146100,147200,144700,146700,4010,585471450
20251118,146700,146700,142000,144200,3134,453952150
20251119,144200,144200,142900,143900,2817,405142150
20251120,143900,145800,143900,145000,3285,474658400
20251121,145000,147300,142400,146200,3672,533279300
20251124,146200,151600,145200,147100,4304,630008500
20251125,147100,147100,143600,144800,2859,416903100
20251126,144800,145900,144800,145700,1595,231356450
20251127,145700,148300,145700,147900,1935,283891500
20251128,147900,150100,147900,150100,2224,330249600
20251201,150100,150100,146800,147100,2653,395121600
20251202,147100,149700,147100,147600,2038,302520300
20251203,147600,153800,147600,153700,5203,789326500
20251204,153700,156000,150100,152700,4770,728848500
20251205,152600,154400,151700,154000,3243,496359550
20251208,155500,155500,150100,151700,2544,387091450
20251209,151500,154800,151300,153600,1414,217340750
20251210,153700,158400,153600,156900,3098,485304650
20251211,158400,159700,151100,156500,4907,759011600
20251212,156500,157900,154600,154600,3416,534608000
20251215,154600,158500,151500,151500,2554,391959000
20251216,151500,152900,150300,152900,2065,313304500
20251217,153300,155900,152900,154300,1626,249996800
20251218,154300,155700,151700,151700,1767,271658600
20251219,153800,156700,152500,156500,1371,212996850
20251222,158100,159000,155500,155700,2647,414507250
20251223,155700,157300,154000,154300,1822,283481400
20251224,154400,156000,154300,154400,1986,307210800
20251226,154600,158400,154000,154900,1044,161541350
20251229,151200,151200,148600,149700,1115,166957600
20251230,148900,150900,147000,150300,1197,178825200
20260102,150300,151500,150300,150400,1403,211108650
20260105,150400,151800,146500,148100,3600,534523700
20260106,148100,148100,145600,145800,2577,379017550
20260107,143900,147200,143600,145600,1683,243658200
20260108,144600,147200,144100,146500,2717,397052800
20260109,146500,148300,145100,147400,3959,582745600
20260112,147500,149400,146100,148400,1836,271502350
20260113,150000,151900,148400,148500,2476,370625450
20260114,151200,151200,147000,147000,2850,423234400
20260115,147000,149000,147000,147800,1965,289902200
20260116,147800,148200,146100,146700,1927,283831350
20260119,146700,147900,145800,146000,2139,313884850
20260120,146000,147900,146000,146500,2069,304476100
20260121,148100,150600,143000,143000,2544,370488900
20260122,143000,145200,142100,142100,2890,414810100
20260123,142100,145300,141600,143500,2888,412887400
20260126,143500,145100,141500,141500,3151,449711000
20260127,141600,142600,141000,141000,2342,331638550
20260128,141000,142700,139200,139600,3687,518067700
20260129,139600,140500,137100,140500,4157,576470000
20260130,140500,140500,138000,139000,5010,698172800
20260202,141400,141400,135300,135300,4124,566493350
20260203,138100,138500,136300,138200,2680,368230400
20260204,138200,140300,137500,140000,5064,703703200
20260205,139900,140900,138000,139900,8573,1196597800
20260206,139900,141300,132500,140700,12644,1734890400
20260209,141900,145000,141100,145000,3213,462349600
20260210,145000,149800,145000,148900,4097,606096800
20260211,148900,151100,148900,149400,3801,569564900
20260212,151500,156000,150000,156000,6490,995860850
20260213,154500,154900,149500,151600,6279,956150650
20260219,151600,153700,151600,152000,4185,636474800
20260220,152100,153400,150500,152600,5482,833924400
20260223,152600,153700,150900,153200,5699,866931500
20260224,153200,154900,153200,154300,3642,559553700
20260225,154300,154800,149600,149600,5463,831661850
20260226,148400,148800,144200,145200,3435,500297200
20260227,145700,145700,140900,141700,5251,745725100
20260303,142000,143700,139800,140000,4744,667743250
20260304,140000,140000,130000,130000,5375,720031100
20260305,134700,141500,132900,139400,4711,648670000
20260306,139400,144200,138100,142100,5689,801338700
20260309,142100,142100,136600,140000,3151,434751200
