date,open,high,low,close,volume,turnover
20251010,425000,425000,409000,415000,246815,102773986750
20251013,416000,428500,412000,420000,257381,107887126500
20251014,415500,436000,403500,408000,344608,143633642500
20251015,412000,428500,408000,427500,227271,96228936000
20251016,430000,435500,419000,422500,163039,69171659250
20251017,426000,434500,419500,420500,134057,56842452500
20251020,418500,427500,416000,423500,129041,54653440750
20251021,424000,442000,424000,438500,372843,162909182500
20251022,448500,463000,438500,462000,327788,148387634250
20251023,455000,457000,446000,446000,212404,95778413000
20251024,447500,452000,438000,447000,282974,126397737250
20251027,457500,474000,457000,473000,383737,179020618250
20251028,474500,474500,458000,460000,238153,110146780750
20251029,467000,468500,445500,462000,292885,133847851250
20251030,472000,479000,459000,461500,298343,139563422750
20251031,456500,484000,453000,474000,268946,127518350750
20251103,476500,494500,474000,479500,377735,183285298500
20251104,483000,483500,457500,457500,356495,165400789000
20251105,455500,456000,424500,428500,461248,200004786000
20251106,435500,444000,415500,418500,396385,168217177000
20251107,413000,430000,398500,415500,311782,127695157000
20251110,419000,430000,416000,424500,189373,80470041750
20251111,428000,434500,413500,418000,232341,98349423500
20251112,422000,431000,419500,426000,177040,75311205170
20251113,421500,442500,417000,439000,308805,134936747500
20251114,427500,450000,427000,432000,567947,249518940250
20251117,435500,438000,423000,436500,171134,73837510757
20251118,432500,445500,425500,426000,209661,90974055250
20251119,430500,430500,406000,418000,186697,78166136000
20251120,422500,439000,422500,433500,173939,75173324750
20251121,425500,427000,416500,420000,154263,64942800500
20251124,424000,435500,415000,434000,324280,139759044632
20251125,439500,444000,420000,420000,197185,83799272250
20251126,425000,432500,421500,428000,138981,59488023000
20251127,427000,435000,423000,427000,104454,44877725500
20251128,426500,427000,405000,410000,212592,87340034000
20251201,410000,414000,396000,403000,240157,96577231250
20251202,405500,416000,404500,413000,149070,61323733000
20251203,415000,425000,413500,423000,122347,51566246750
20251204,419000,424000,412500,419000,103706,43191445250
20251205,418500,432000,416000,432000,115395,49276775500
20251208,428000,440000,420500,439000,134920,58321200000
20251209,437000,451500,433000,447500,241943,108144432500
20251210,444500,450500,442000,442000,133179,59241956250
20251211,448500,452500,441000,445500,220704,98399466000
20251212,448000,450000,443000,449500,82921,37154039250
20251215,444000,444500,436500,437000,118489,52055536250
20251216,436000,438500,421500,422500,166814,71248606750
20251217,424000,428500,416000,421500,118319,49856782250
20251218,413000,417000,405500,409000,105368,43261540350
20251219,414000,426000,412000,421000,210232,88279517250
20251222,425000,426500,415000,418500,114388,47977234750
20251223,423000,432000,417000,432000,158783,67868591782
20251224,436500,436500,414000,416000,129749,54675847750
20251226,415000,417500,401500,403000,155267,63019739250
20251229,398500,410500,398000,410500,157219,63904500250
20251230,406000,408000,404000,407000,123304,50033705250
20260102,407000,407000,392000,393500,256720,101451749350
20260105,385000,402500,385000,401000,299340,118903627250
20260106,403500,415000,395500,414000,249294,101978669500
20260107,412000,423000,408500,418000,251207,104843140776
20260108,417500,429500,417500,424500,279906,119143493250
20260109,426500,447000,422500,447000,425836,187540580500
20260112,445000,453000,433000,450500,336951,151148206500
20260113,452000,463000,449000,462500,283454,129871488250
20260114,458500,458500,424500,427500,388404,168864437000
20260115,432500,440000,426500,440000,231895,101312216000
20260116,439000,441000,427000,438500,172331,74973561250
20260119,442500,447500,437000,444500,189587,84058502500
20260120,439000,444500,428500,443000,132606,58258083750
20260121,440000,440000,425000,428500,203782,87525936000
20260122,430000,433000,419500,424500,279196,118782415750
20260123,428000,436500,426500,436000,266054,114932983500
20260126,433500,436000,423000,424000,142650,60979544750
20260127,430000,430500,414000,426500,172467,73186246250
20260128,428000,431500,418500,422500,207240,87641305750
20260129,420000,422000,410000,421000,276565,115009742500
20260130,422000,425000,413000,413500,206319,85942718750
20260202,414500,424000,395500,401500,224516,91359672500
20260203,413500,417500,406500,417500,154311,63801087658
20260204,425000,430000,414000,424500,164182,69507867500
20260205,424000,429500,407000,409000,221378,92159914500
20260206,403000,403500,384000,395500,266977,104504658250
20260209,410000,412000,375000,390000,398048,156751665000
20260210,394000,397000,378000,382000,422004,161605703750
20260211,385500,391500,384000,390000,200412,77972557000
20260212,392000,402500,391000,397000,231984,92046847750
20260213,395000,405500,393500,397500,181379,72445757750
20260219,404000,422500,404000,422500,275641,115178622250
20260220,423000,452000,416500,452000,367661,162278811000
20260223,453000,474000,447500,472000,384448,178388177250
20260224,460000,461000,443000,457500,313269,141671023750
20260225,458000,473000,456000,467500,292537,136637958500
20260226,460000,461000,450000,452000,232365,105286035750
20260227,452500,457000,445000,450000,346778,156480252500
20260303,451000,465500,440000,441500,295829,133360309750
20260304,414500,423500,374000,379000,556756,220038612250
20260305,409500,415000,399000,407000,287942,117444573000
20260306,395500,415500,395000,402000,296184,119250636750
20260309,390000,411000,379500,400000,277990,109430133750
