date,open,high,low,close,volume,turnover
20251010,282000,287500,277500,279000,288939,81134736750
20251013,278000,282000,271500,282000,245693,68314421750
20251014,280000,299500,280000,296500,479724,141320957250
20251015,295000,295500,291000,294000,172127,50492707250
20251016,294500,312000,294500,312000,557451,171433174000
20251017,309500,350000,308500,339000,1150682,389629106750
20251020,337500,350000,333500,347500,449112,154424471500
20251021,343000,354000,341000,346000,357271,124396425250
20251022,356000,395500,351000,391000,1575365,604707012750
20251023,406500,408000,387000,389500,892900,352589639000
20251024,386000,410000,383000,401000,811185,322475057741
20251027,402500,407500,391000,404000,447924,179923233000
20251028,399000,414500,395500,413500,503165,205142170450
20251029,412500,422000,409500,417000,432477,179828439250
20251030,412000,423500,400000,405000,439474,179392875798
20251031,393500,400500,389000,397500,501518,197507089250
20251103,399000,401000,385500,393000,345947,135364769500
20251104,400000,409000,391000,395000,294129,116937282000
20251105,395500,401000,373000,385000,436160,167644413750
20251106,393000,405500,385500,385500,441659,174164725500
20251107,389000,394000,375000,382000,259098,99116422000
20251110,385500,401000,375500,397000,290167,113998073750
20251111,401500,405000,392500,399500,396621,158437271256
20251112,402500,404000,390000,393500,401469,159108324933
20251113,393500,428500,393500,419500,676571,278997459500
20251114,406500,420000,403000,407500,338108,138934859250
20251117,413000,419500,398000,402000,264512,107160246000
20251118,398000,405500,386500,388000,333994,132232138348
20251119,394000,398500,378000,390500,206165,79922568500
20251120,397500,399000,388500,388500,174417,68233709250
20251121,377500,378000,362750,367000,315503,116074340000
20251124,369000,370500,355000,358500,319529,114681682250
20251125,365000,369000,359500,363000,251051,91311820000
20251126,369500,397500,369000,397000,504358,196277069250
20251127,394500,402500,386000,395500,457285,180315982750
20251128,396500,396500,373000,374000,401535,152757196500
20251201,378000,383500,367000,372000,213121,79611395250
20251202,374500,376500,367500,371500,178062,66239746750
20251203,373000,383000,372500,380000,193648,73243196750
20251204,380000,383000,373500,376000,229061,86362758000
20251205,376500,382000,372000,381500,275857,104364082500
20251208,384000,387000,377500,386500,237724,91136310250
20251209,383500,385000,378000,379500,176352,67008226750
20251210,384500,388500,373500,376000,192669,72869197000
20251211,379500,380500,365500,365500,278618,102836919750
20251212,370000,373000,366500,371500,173965,64338920750
20251215,362000,377000,361500,369000,150033,55542257000
20251216,369500,370000,351500,354000,258691,92360773500
20251217,356500,365000,354500,364000,182526,66042497750
20251218,344000,347000,332500,333000,439388,147633482500
20251219,335000,338500,324500,338500,344256,114936384050
20251222,343000,351000,339000,346000,157106,54427001500
20251223,348000,348000,342500,345500,143777,49589916750
20251224,347500,349000,342500,346000,105513,36443013000
20251226,343000,346000,335000,336000,145837,49257352000
20251229,326000,339000,325000,338500,139537,46843058250
20251230,334000,334500,330000,333000,193822,64314072500
20260102,331000,331000,319500,322500,246623,79651701750
20260105,318500,330000,318500,330000,222585,72943315500
20260106,334000,334500,324500,328500,282451,92941793000
20260107,326000,328500,315000,319500,282239,90085199750
20260108,316500,317500,311000,315000,416599,130701622750
20260109,317000,320000,307500,312500,280530,87461240250
20260112,311000,322500,310000,321500,342118,109201358750
20260113,323000,343000,318000,342500,461945,154124557500
20260114,340500,341500,327500,330500,244657,81124046250
20260115,331000,342500,330500,336000,270726,91110435250
20260116,337000,343000,330500,333500,239548,80434886500
20260119,329000,338500,323500,337500,289896,95783641500
20260120,334000,345000,333000,339000,267761,90931712750
20260121,334000,336500,323500,331000,212312,70007780250
20260122,332000,357000,331000,350500,664481,231197398500
20260123,359500,369000,350500,358000,541858,194132066750
20260126,356000,358000,344500,349500,400048,139338659000
20260127,345000,355000,341000,344000,308673,106465150500
20260128,349500,366500,348500,354000,456693,162333172750
20260129,357500,357500,336000,343000,435702,149081709500
20260130,341000,342500,310500,310500,963226,309845361500
20260202,312000,312500,294000,296500,492954,148535650500
20260203,302000,307500,296500,306500,349494,105780735250
20260204,305500,319000,305500,318000,351475,110924939000
20260205,315500,320000,307500,312000,310333,97249209250
20260206,303500,305500,297000,304000,266373,80465080250
20260209,313000,315000,305000,310500,259118,80386620000
20260210,312000,324500,310500,321000,413203,131281123688
20260211,324000,327000,318000,322500,393723,127373064391
20260212,325500,340000,324000,336500,576686,193138690750
20260213,331000,336000,324000,324500,386073,127004700750
20260219,326500,336500,326000,334500,383082,127218471000
20260220,333500,341500,331500,337000,236523,79742253000
20260223,339000,340000,332000,332500,232539,77698464000
20260224,335000,351500,333500,350500,519344,179667613250
20260225,353000,401500,347500,387500,1099978,422499343500
20260226,387500,393500,383000,390000,466977,181509171250
20260227,381000,424000,381000,417500,1146026,474186407500
20260303,402000,407000,360000,361000,956158,365875314750
20260304,343000,347500,303000,307000,720462,232177358750
20260305,334500,338500,321000,324500,550806,181157036500
20260306,317500,328000,307500,326500,511510,163514425000
20260309,305000,310500,288000,300000,582831,172373816000
