date,open,high,low,close,volume,turnover
20251010,35200,35200,33900,34450,115529,3970824725
20251013,33850,35900,33500,35350,146974,5183220525
20251014,35600,37750,35400,37400,340410,12607285775
20251015,38000,38000,36650,37700,161870,6039729550
20251016,38150,39500,37950,39250,471125,18341215900
20251017,39600,42700,38750,41050,868047,35455650150
20251020,41650,44950,40100,42650,1050008,44761252025
20251021,42250,43400,41250,41900,494402,20924098225
20251022,43000,44500,42100,42950,368275,15846482575
20251023,43100,43450,42200,42400,243069,10407565650
20251024,42600,47400,42600,46700,971416,44387184825
20251027,50400,50400,46600,47400,738837,35485240200
20251028,46500,47650,45250,47200,336580,15664085225
20251029,46750,46750,45450,46050,254987,11719074075
20251030,45500,46650,43800,44350,357438,16003052725
20251031,43300,44550,43250,43250,185893,8134179125
20251103,44200,44200,42900,43650,214625,9325151750
20251104,45100,45500,43550,43600,180120,7988866925
20251105,42650,42900,40400,42100,215289,8977475200
20251106,43000,44350,42350,43500,244544,10587754200
20251107,42750,43200,40700,41550,173884,7254370900
20251110,42000,42800,41200,42600,181168,7627543250
20251111,43150,44300,39900,40700,460966,19173475475
20251112,41100,42200,40600,41950,155143,6440592250
20251113,42150,45200,41850,45200,442522,19474388100
20251114,43950,44200,42650,42700,228230,9918211475
20251117,43650,43700,41900,43050,157212,6734121900
20251118,43100,43500,40800,40900,162246,6753654150
20251119,40950,41350,39500,39800,141456,5664686600
20251120,40400,41150,40250,40450,99856,4062179125
20251121,39250,39500,38500,38600,108613,4219110925
20251124,39100,39100,37650,37850,118037,4489140125
20251125,38700,38950,37900,37900,83692,3214771575
20251126,38300,40000,38300,39800,102903,4047183925
20251127,40500,40500,39550,39700,73644,2939516875
20251128,40550,41200,40150,41100,123130,5016368450
20251201,41750,42250,41250,41600,134777,5624816575
20251202,41750,42400,41350,42100,86564,3630158925
20251203,42450,42650,41850,42200,81477,3442621325
20251204,42350,42750,41000,41150,114292,4745291525
20251205,41000,41950,40650,41500,117564,4864155050
20251208,41700,43350,41400,43300,218214,9283667050
20251209,42500,43650,42250,43250,142724,6138835750
20251210,44000,44100,42100,42600,133654,5730033900
20251211,42800,42800,41350,42450,177308,7467933400
20251212,42450,42600,41700,42100,107152,4516103939
20251215,41400,43100,41100,42500,135600,5761922625
20251216,42400,42500,40000,40250,176437,7185330300
20251217,40300,40750,39850,40200,74683,3002873100
20251218,38950,39050,38300,38450,124162,4797914425
20251219,39000,39000,36650,37950,175914,6620553525
20251222,38850,40950,38200,39600,143920,5694025875
20251223,39700,40050,39350,39550,75295,2977964625
20251224,39600,40150,39150,39350,91738,3626553100
20251226,39750,40000,38950,39350,89156,3515305075
20251229,38700,39600,38300,39000,86537,3389264425
20251230,38450,38800,37450,37600,133641,5050174175
20260102,37550,37550,36000,36600,139505,5092230100
20260105,36150,38500,36150,37700,145402,5478860975
20260106,38500,38550,37500,37800,122197,4612548950
20260107,37750,38150,36350,36750,134321,4959975150
20260108,36750,36800,35400,36550,172373,6203303125
20260109,36550,36650,35000,35700,109091,3878038375
20260112,35600,38150,35300,36950,236433,8682875700
20260113,37150,37800,36550,37750,159848,5930902675
20260114,37700,37750,36700,36950,104998,3881155350
20260115,37000,37850,36500,37550,150345,5575320675
20260116,38100,38500,37050,37150,130062,4887210500
20260119,37350,40150,37200,39900,313990,12186414500
20260120,39850,40850,39100,39950,237920,9516989250
20260121,39000,39450,38300,39100,186098,7216255900
20260122,40000,44200,39700,43950,1107508,47461728400
20260123,46500,46500,42250,43950,667347,29209184425
20260126,46050,47750,45750,47750,1020253,47808576625
20260127,47000,49200,46800,48000,611774,29352278200
20260128,48350,51300,48100,51200,851726,42569353875
20260129,54300,55200,49850,53900,861570,45281139675
20260130,54000,57000,52700,52900,726524,39831550950
20260202,52300,57500,50700,50900,934006,50086385300
20260203,53400,53900,51000,53600,410758,21593692000
20260204,52700,55400,52000,54100,415030,22466273200
20260205,53000,53800,50700,51100,344319,17915092250
20260206,48450,49550,47300,48100,303057,14624935725
20260209,50200,55500,49700,53900,609752,32485226350
20260210,54700,54900,51700,51900,249464,13173834350
20260211,51800,52000,50200,50300,190447,9683442150
20260212,50700,53400,49600,53400,351466,18249583850
20260213,51900,52000,50200,51200,259725,13243704650
20260219,52400,53300,51000,53100,317490,16657280950
20260220,53300,53700,52100,53300,215865,11417814750
20260223,54500,54800,51400,51800,264813,13894082300
20260224,52400,54800,51500,53100,376327,20116666650
20260225,54900,55800,52700,54500,387140,21170256400
20260226,55900,55900,53500,54300,292854,15995741350
20260227,53500,55600,53000,54700,256946,14011935750
20260303,52800,55100,49500,49500,377235,19713161500
20260304,47650,49000,41000,41550,475324,21081558700
20260305,45300,49800,45000,47600,389240,18497077900
20260306,48300,51500,47650,50800,289445,14500406150
20260309,47700,49950,47000,49000,246855,11879346425
