date,open,high,low,close,volume,turnover
20251010,66600,66700,64700,65400,125582,8242236300
20251013,64800,66200,63500,66100,80058,5230822250
20251014,65300,68100,64900,67500,157703,10539501450
20251015,67300,69300,66800,68600,128384,8792777400
20251016,68900,72000,68600,72000,357157,25394074150
20251017,71500,74800,71300,73100,231632,16966489950
20251020,72000,72800,70500,71700,144943,10370957650
20251021,72300,73300,70800,71300,130040,9332018700
20251022,71700,75900,71400,75900,287119,21462957750
20251023,77600,77900,74500,74600,202963,15378774450
20251024,75400,77300,74000,76400,179941,13621788450
20251027,77500,77500,73900,74000,244334,18283418150
20251028,74500,74700,72800,73700,141624,10418377550
20251029,74100,74100,72000,73400,122298,8895802600
20251030,73000,73400,71200,71400,96771,6952360950
20251031,71300,71400,69800,70700,118819,8374680550
20251103,71100,72300,70400,71500,172043,12250717000
20251104,71500,74300,71000,73500,218430,15982852900
20251105,72200,72400,68200,69900,151339,10559549700
20251106,70900,72000,69100,71200,110071,7785716450
20251107,70500,70500,67900,68800,127619,8765555850
20251110,69700,74400,69100,73700,170222,12354133900
20251111,72400,75500,72400,73800,151848,11228105350
20251112,73900,86000,73800,84800,913548,74792294400
20251113,83400,88800,82900,87000,550266,47720455700
20251114,85000,89200,84600,85200,246409,21367848600
20251117,86400,86600,83200,84500,134254,11336719650
20251118,84700,85500,80200,80600,174061,14277805850
20251119,82000,82000,78600,79700,116542,9330233100
20251120,81300,82300,80000,80000,62826,5084287600
20251121,79400,79600,77300,78000,60861,4749861650
20251124,78800,79800,74500,74500,143258,10865596150
20251125,75900,76200,73300,74500,74229,5542087150
20251126,77400,83600,71000,75600,560927,42710660450
20251127,77900,79300,75300,75700,190360,14540169950
20251128,75900,76200,71600,72200,264626,19234910200
20251201,73100,73700,71600,72700,87359,6345708150
20251202,73400,74800,72200,74400,92971,6867880650
20251203,74500,75000,73700,74500,106012,7875612300
20251204,74300,74300,72100,73400,143329,10426168350
20251205,72700,73100,72100,72900,91785,6658498200
20251208,73300,74000,72200,72900,91288,6635322900
20251209,72800,73100,72200,73000,80002,5814073800
20251210,73600,74600,73200,73600,136084,10050700650
20251211,74800,74900,72400,72400,117614,8595954100
20251212,73200,74600,72700,74400,93793,6923364100
20251215,73500,75000,73300,74100,86202,6409328650
20251216,74600,74700,72800,73300,83172,6105693550
20251217,74000,79500,73400,78900,451905,35360495250
20251218,77400,77400,72200,72500,270254,19968006700
20251219,73200,73500,70800,71200,201627,14429018550
20251222,72300,74400,71200,73300,126749,9306082750
20251223,73500,75000,73200,74100,92985,6900827950
20251224,74500,75100,73600,74200,61982,4601982150
20251226,74300,75900,72300,72500,106720,7840002150
20251229,71900,72100,70500,71200,117532,8342194550
20251230,70800,70800,69600,70300,65384,4591631600
20260102,70300,70400,66900,67500,190687,12926298150
20260105,68100,69500,67800,68900,125242,8591210150
20260106,69100,70700,68500,69700,113589,7924848000
20260107,70000,70800,68800,70400,117222,8186180000
20260108,70000,70700,67700,69100,222097,15287498650
20260109,69400,69800,66500,66900,223686,15127527500
20260112,67000,70400,66800,68800,183361,12604592600
20260113,69300,70800,67500,70700,119117,8281837000
20260114,71000,72000,69400,71400,141341,10013330750
20260115,71100,74700,70800,73400,174035,12751345650
20260116,73700,76800,73400,74300,209115,15716236250
20260119,73800,74700,71300,73800,167891,12220058250
20260120,73200,75500,73100,73500,135993,10055824550
20260121,72200,73400,71000,73100,177568,12820859000
20260122,73200,77300,72800,77000,237282,18082656050
20260123,78100,81400,77800,80300,265809,21189692200
20260126,81000,85800,80700,80900,233139,19340303250
20260127,80600,85800,79500,83000,225838,18836367050
20260128,83900,89500,83000,86400,332286,28840502450
20260129,87200,87200,83000,86400,181313,15418585100
20260130,84500,85600,81400,83400,208109,17326437800
20260202,80800,82100,76800,77300,276565,21800657500
20260203,79400,81300,77700,80800,181340,14378317450
20260204,79600,85500,79600,85400,212379,17868484050
20260205,83800,83800,75200,75600,529033,40945411500
20260206,74000,74200,71400,72900,219962,15921913950
20260209,74300,76000,74000,74900,172132,12894652700
20260210,75800,77300,75400,76600,155627,11904517750
20260211,77700,82100,77100,80000,282128,22743665050
20260212,81000,84200,80100,82000,297100,24561901700
20260213,81900,83600,80000,80300,145449,11784130350
20260219,81300,81900,78800,81000,177453,14214456400
20260220,80400,86000,80000,85200,271350,22759506750
20260223,86000,87700,81400,86200,348152,29799769600
20260224,86800,100200,86100,91500,881915,82022689000
20260225,90800,92500,87900,90300,373776,33723949250
20260226,90700,94500,89800,90000,280426,25762340250
20260227,89200,100500,88700,95900,553061,53029755450
20260303,97600,97800,84300,84300,521145,46113998350
20260304,80200,81500,71500,71800,291499,22019358600
20260305,77500,78800,72000,73000,381417,28329368700
20260306,72500,75800,71600,75400,231482,16996336950
20260309,70800,71800,69000,71200,263758,18525010500
